ssd_count,policy,policy_role,C,U,E,metric,value,unit,positive_change_meaning
1,ablation_c1_u0_e0,factorial_cell,1,0,0,max_gpu_utilization_percent,48.41434963232214,%,改善
1,ablation_c1_u0_e0,factorial_cell,1,0,0,max_ttft_us,1821846.9837076922,us,退化（时间变长）
1,ablation_c1_u0_e0,factorial_cell,1,0,0,mean_actual_read_us,367605.2012000022,us,退化（时间变长）
1,ablation_c1_u0_e0,factorial_cell,1,0,0,mean_gpu_utilization_percent,19.510311293973004,%,改善
1,ablation_c1_u0_e0,factorial_cell,1,0,0,mean_ttft_us,1546459.9674602563,us,退化（时间变长）
1,ablation_c1_u0_e0,factorial_cell,1,0,0,min_gpu_utilization_percent,0.9750121472478499,%,改善
1,ablation_c1_u0_e0,factorial_cell,1,0,0,overall_last_completion_us,1681488.92,us,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,p95_delta_us,410887.35495897435,us,退化（超期增加）
1,ablation_c1_u0_e0,factorial_cell,1,0,0,p95_gpu_utilization_percent,40.923765349881705,%,改善
1,ablation_c1_u0_e0,factorial_cell,1,0,0,p95_ttft_us,1766450.3845794871,us,退化（时间变长）
1,ablation_c1_u0_e0,factorial_cell,1,0,0,processed_event_count,1394377,count,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,queue_weight_write_count,1024,count,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,rate_control.active_demand_count,0,count,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,rate_control.active_p_node_count,0,count,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,rate_control.completed_coflow_count,512,count,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,rate_control.compute_layer_count,4,count,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,rate_control.coordination_enabled,True,,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,rate_control.deadline_allowance_us,750,us,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,rate_control.decision_count,1152,count,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,rate_control.edf_enabled,False,,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,rate_control.feasibility_conflict_count,0,count,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,rate_control.finite_selected_pir,False,,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,rate_control.initial_decision_count,382,count,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,rate_control.p_node_count,128,count,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,rate_control.peak_assigned_cir_bytes_per_second.SSD0,40000000000,,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,rate_control.prefetch_decision_count,768,count,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,rate_control.score_mode,integer,,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,rate_control.selection_change_count,513,count,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,rate_control.starved_p_node_count,0,count,仅表示数值增加
