ssd_count,transition,transition_label_cn,attribution_scope,before_policy,after_policy,metric,metric_label_cn,before_value,after_value,signed_change,change_unit,signed_relative_change_percent,positive_change_meaning
8,production_parity,Production 与消融 111 一致性,parity_check,ablation_c1_u1_e1,utility_edf_integer_l750,late_gpu_layer_count,逾期 GPU layer 数,238.0,238.0,0.0,count,,退化（数量增加）
8,production_parity,Production 与消融 111 一致性,parity_check,ablation_c1_u1_e1,utility_edf_integer_l750,p95_delta_us,P95 预取超期量,41912.4208,41912.4208,0.0,us,,退化（超期增加）
8,production_parity,Production 与消融 111 一致性,parity_check,ablation_c1_u1_e1,utility_edf_integer_l750,worst_delta_us,最坏预取超期量,134600.344,134600.344,0.0,us,,退化（超期增加）
8,production_parity,Production 与消融 111 一致性,parity_check,ablation_c1_u1_e1,utility_edf_integer_l750,mean_actual_read_us,平均实际读取时间,39606.45519248801,39606.45519248801,0.0,us,0.0,退化（时间变长）
8,end_to_end,完整 111 相对 Baseline,end_to_end,baseline,ablation_c1_u1_e1,mean_gpu_utilization_percent,平均 GPU 利用率,74.75573712970174,84.5828581818932,9.827121052191458,pp,,改善
8,end_to_end,完整 111 相对 Baseline,end_to_end,baseline,ablation_c1_u1_e1,min_gpu_utilization_percent,最低 GPU 利用率,10.369127851288294,10.32929750745007,-0.039830343838223925,pp,,改善
8,end_to_end,完整 111 相对 Baseline,end_to_end,baseline,ablation_c1_u1_e1,p95_gpu_utilization_percent,P95 GPU 利用率,93.42442240249852,99.32194510007444,5.897522697575923,pp,,改善
8,end_to_end,完整 111 相对 Baseline,end_to_end,baseline,ablation_c1_u1_e1,max_gpu_utilization_percent,最高 GPU 利用率,94.05222604227511,99.64948599414359,5.59725995186848,pp,,改善
8,end_to_end,完整 111 相对 Baseline,end_to_end,baseline,ablation_c1_u1_e1,mean_ttft_us,平均 TTFT,369066.0488992387,332308.2467719952,-36757.802127243485,us,-9.959681264878144,退化（时间变长）
8,end_to_end,完整 111 相对 Baseline,end_to_end,baseline,ablation_c1_u1_e1,p95_ttft_us,P95 TTFT,721790.0485333335,690377.0309333334,-31413.01760000002,us,-4.352099016027002,退化（时间变长）
8,end_to_end,完整 111 相对 Baseline,end_to_end,baseline,ablation_c1_u1_e1,max_ttft_us,Max TTFT,801565.6703384615,768607.7951384616,-32957.87519999989,us,-4.111687466116583,退化（时间变长）
